Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
2.5,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',1.166659832,1.1666598320007324,0.0,'1',1.6315048933,1.6315048933029175,0.0,16.0
2.5,Stim\\05_028.jpg,En28_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En28,28,1.0,'2',1.21673536301,1.2167353630065918,0.0,'1',3.06949543953,3.069495439529419,0.0,17.0
0.25,Stim\\03_078.jpg,Tr78_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr78,78,1.0,'4',1.31648492813,1.3164849281311035,0.0,'1',2.76483058929,2.7648305892944336,0.0,18.0
0.25,Stim\\03_019.jpg,Tr19_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr19,19,1.0,'3',0.650311589241,0.6503115892410278,0.0,'1',2.09188175201,2.09188175201416,0.0,19.0
0.25,Stim\\05_028.jpg,En28_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En28,28,1.0,'2',1.36662077904,1.3666207790374756,0.0,'1',2.34761333466,2.3476133346557617,0.0,20.0
0.25,Stim\\05_019.jpg,En19_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En19,19,1.0,'2',2.39969086647,2.399690866470337,0.0,'1',2.55135416985,2.551354169845581,0.0,21.0
0.25,Stim\\02_028.jpg,Al28_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al28,28,1.0,'3',0.750201702118,0.7502017021179199,0.0,'1',1.68468952179,1.6846895217895508,0.0,22.0
2.5,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,1.0,'3',0.450079709291,0.45007970929145813,0.0,'1',2.29808974266,2.2980897426605225,0.0,23.0
2.5,Stim\\05_075.jpg,En75_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En75,75,1.0,'2',1.0669093132,1.0669093132019043,0.0,'1',2.59678649902,2.5967864990234375,0.0,24.0
2.5,Stim\\03_075.jpg,Tr75_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr75,75,1.0,'4',1.36707735062,1.367077350616455,0.0,'1',1.05574655533,1.0557465553283691,0.0,25.0
2.5,Stim\\03_028.jpg,Tr28_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr28,28,1.0,'4',0.450412154198,0.45041215419769287,0.0,'1',1.96721065044,1.9672106504440308,0.0,26.0
0.25,Stim\\05_028.jpg,En28_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En28,28,1.0,'2',2.49983215332,2.4998321533203125,0.0,'1',2.0996363163,2.0996363162994385,0.0,27.0
0.25,Stim\\03_028.jpg,Tr28_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr28,28,1.0,'3',1.73314976692,1.733149766921997,0.0,'1',4.79682922363,4.7968292236328125,0.0,28.0
0.25,Stim\\02_028.jpg,Al28_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al28,28,1.0,'3',0.50010573864,0.5001057386398315,0.0,'1',1.73716461658,1.7371646165847778,0.0,29.0
2.5,Stim\\02_028.jpg,Al28_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al28,28,1.0,'3',0.950645089149,0.9506450891494751,0.0,'1',1.7157804966,1.71578049659729,0.0,30.0
0.25,Stim\\02_078.jpg,Al78_29,Alegría,29,Miriam mira la película.,Afirmación,Al78,78,1.0,'3',0.550725758076,0.5507257580757141,0.0,'1',2.306194067,2.3061940670013428,0.0,31.0
0.25,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'2',1.51661908627,1.516619086265564,0.0,'1',2.86420440674,2.8642044067382812,0.0,32.0
0.25,Stim\\03_019.jpg,Tr19_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr19,19,1.0,'3',0.550109982491,0.5501099824905396,0.0,'1',1.72712492943,1.7271249294281006,0.0,33.0
0.25,Stim\\02_028.jpg,Al28_25,Alegría,25,Luis decide la comida siguiente.,Afirmación,Al28,28,1.0,'3',0.400772541761,0.4007725417613983,0.0,'1',2.28431510925,2.2843151092529297,0.0,34.0
2.5,Stim\\03_078.jpg,Tr78_26,Tristeza,26,Víctor trae el café a Marco.,Afirmación,Tr78,78,1.0,'4',0.699988663197,0.6999886631965637,0.0,'1',1.06855201721,1.068552017211914,0.0,35.0
2.5,Stim\\05_078.jpg,En78_20,Enojo,20,Karen analiza la idea.,Afirmación,En78,78,1.0,'2',2.6994843483,2.699484348297119,0.0,'1',0.0549981445074,0.05499814450740814,0.0,36.0
2.5,Stim\\02_078.jpg,Al78_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al78,78,1.0,'3',1.36664664745,1.366646647453308,0.0,'1',2.86522364616,2.8652236461639404,0.0,37.0
0.25,Stim\\03_078.jpg,Tr78_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr78,78,1.0,'4',0.43415671587,0.43415671586990356,0.0,'1',2.00392150879,2.0039215087890625,0.0,38.0
2.5,Stim\\03_075.jpg,Tr75_18,Tristeza,18,Sofía escucha la música.,Afirmación,Tr75,75,1.0,'4',1.2672778368,1.2672778367996216,0.0,'1',1.80770468712,1.8077046871185303,0.0,39.0
2.5,Stim\\03_019.jpg,Tr19_19,Tristeza,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Tr19,19,1.0,'3',0.650264263153,0.6502642631530762,0.0,'1',1.60713720322,1.6071372032165527,0.0,40.0
0.25,Stim\\03_019.jpg,Tr19_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr19,19,1.0,'3',1.53348815441,1.533488154411316,0.0,'1',2.23230934143,2.232309341430664,0.0,41.0
2.5,Stim\\05_078.jpg,En78_18,Enojo,18,Sofía escucha la música.,Afirmación,En78,78,1.0,'2',1.76630318165,1.7663031816482544,0.0,'1',0.107006877661,0.10700687766075134,0.0,42.0
0.25,Stim\\05_019.jpg,En19_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En19,19,1.0,'2',3.36672210693,3.3667221069335938,0.0,'1',2.65203285217,2.6520328521728516,0.0,43.0
0.25,Stim\\02_075.jpg,Al75_20,Alegría,20,Karen analiza la idea.,Afirmación,Al75,75,1.0,'3',0.866499900818,0.8664999008178711,0.0,'1',1.67183625698,1.671836256980896,0.0,44.0
0.25,Stim\\03_075.jpg,Tr75_23,Tristeza,23,Óscar consigue un nuevo departamento.,Afirmación,Tr75,75,1.0,'4',1.26711130142,1.2671113014221191,0.0,'1',1.81646931171,1.8164693117141724,0.0,45.0
0.25,Stim\\05_078.jpg,En78_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En78,78,1.0,'2',0.950878918171,0.950878918170929,0.0,'1',1.86675024033,1.8667502403259277,0.0,46.0
2.5,Stim\\02_019.jpg,Al19_20,Alegría,20,Karen analiza la idea.,Afirmación,Al19,19,1.0,'3',2.54962253571,2.5496225357055664,0.0,'1',1.75400817394,1.754008173942566,0.0,47.0
0.25,Stim\\03_075.jpg,Tr75_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr75,75,1.0,'4',4.28262042999,4.282620429992676,0.0,'1',2.03333473206,2.033334732055664,0.0,48.0
0.25,Stim\\05_078.jpg,En78_25,Enojo,25,Luis decide la comida siguiente.,Afirmación,En78,78,1.0,'2',1.16678702831,1.166787028312683,0.0,'1',2.09989333153,2.09989333152771,0.0,49.0
2.5,Stim\\03_019.jpg,Tr19_23,Tristeza,23,Óscar consigue un nuevo departamento.,Afirmación,Tr19,19,1.0,'3',2.8995141983,2.8995141983032227,0.0,'1',3.11391925812,3.113919258117676,0.0,50.0
2.5,Stim\\03_075.jpg,Tr75_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr75,75,1.0,'4',1.73314702511,1.7331470251083374,0.0,'1',1.26809799671,1.268097996711731,0.0,51.0
0.25,Stim\\02_078.jpg,Al78_20,Alegría,20,Karen analiza la idea.,Afirmación,Al78,78,1.0,'3',0.699929773808,0.6999297738075256,0.0,'1',1.32541835308,1.3254183530807495,0.0,52.0
2.5,Stim\\02_078.jpg,Al78_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al78,78,1.0,'3',1.05072891712,1.0507289171218872,0.0,'1',1.88224840164,1.8822484016418457,0.0,53.0
2.5,Stim\\03_028.jpg,Tr28_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr28,28,1.0,'4',0.967162013054,0.967162013053894,0.0,'1',1.67480075359,1.6748007535934448,0.0,54.0
2.5,Stim\\02_075.jpg,Al75_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al75,75,1.0,'3',1.16726624966,1.1672662496566772,0.0,'1',1.07070875168,1.0707087516784668,0.0,55.0
2.5,Stim\\03_078.jpg,Tr78_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr78,78,1.0,'4',0.700666487217,0.7006664872169495,0.0,'1',3.29895186424,3.2989518642425537,0.0,56.0
0.25,Stim\\03_028.jpg,Tr28_19,Tristeza,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Tr28,28,1.0,'4',1.66721272469,1.667212724685669,0.0,'1',2.02932739258,2.029327392578125,0.0,57.0
2.5,Stim\\05_078.jpg,En78_21,Enojo,21,Mauro anuncia la actividad.,Afirmación,En78,78,1.0,'2',0.283445745707,0.2834457457065582,0.0,'1',2.37251353264,2.37251353263855,0.0,58.0
0.25,Stim\\05_028.jpg,En28_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En28,28,1.0,'3',1.21697998047,1.21697998046875,0.0,'1',1.66700971127,1.667009711265564,0.0,59.0
0.25,Stim\\03_075.jpg,Tr75_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr75,75,1.0,'3',1.51698732376,1.5169873237609863,0.0,'1',3.1753385067,3.1753385066986084,0.0,60.0
2.5,Stim\\03_078.jpg,Tr78_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr78,78,1.0,'3',1.36676049232,1.366760492324829,0.0,'1',6.15249109268,6.152491092681885,0.0,61.0
0.25,Stim\\05_075.jpg,En75_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En75,75,1.0,'3',0.650119662285,0.6501196622848511,0.0,'1',4.09676456451,4.09676456451416,0.0,62.0
0.25,Stim\\03_019.jpg,Tr19_26,Tristeza,26,Víctor trae el café a Marco.,Afirmación,Tr19,19,1.0,'3',1.1168037653,1.116803765296936,0.0,'1',1.26930773258,1.2693077325820923,0.0,63.0
