Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
2.5,Stim\\05_075.jpg,En75_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En75,75,,,,,,,,,0,109,109,109,,,,,,,,,1,2.15457662697,2,0.600298628949,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_078.jpg,En78_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En78,78,,,,,,,,,0,110,110,110,,,,,,,,,1,1.64993386609,2,0.650161452411,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_028.jpg,Tr28_26,Tristeza,26,Víctor trae el café a Marco.,Afirmación,Tr28,28,,,,,,,,,0,111,111,111,,,,,,,,,1,0.81791711217,4,0.500323083321,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_028.jpg,En28_20,Enojo,20,Karen analiza la idea.,Afirmación,En28,28,,,,,,,,,0,112,112,112,,,,,,,,,1,1.27544905904,2,0.550297914952,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_019.jpg,Al19_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al19,19,,,,,,,,,0,113,113,113,,,,,,,,,1,0.865535309795,3,0.55031754985,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_078.jpg,En78_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En78,78,,,,,,,,,0,114,114,114,,,,,,,,,1,0.965854466136,2,0.650261411892,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_078.jpg,En78_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En78,78,,,,,,,,,0,115,115,115,,,,,,,,,1,1.65000303448,2,0.700160827665,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_019.jpg,En19_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En19,19,,,,,,,,,0,116,116,116,,,,,,,,,1,1.33135987734,2,0.650292202982,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_078.jpg,Tr78_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr78,78,,,,,,,,,0,117,117,117,,,,,,,,,1,1.01615327358,4,0.550480876502,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_075.jpg,En75_20,Enojo,20,Karen analiza la idea.,Afirmación,En75,75,,,,,,,,,0,118,118,118,,,,,,,,,1,1.32566754191,4,0.700276405814,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_078.jpg,En78_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En78,78,,,,,,,,,0,119,119,119,,,,,,,,,1,1.63388679946,2,1.21675008523,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,4.23268246621,2,2.38305767127,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,,,,,,,,,,,,,0,1,1,1,,,,,,,,,1,2.81401958492,2,0.550357265894,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,,,,,,,,,,,,,0,2,2,2,,,,,,,,,1,1.48875946714,3,0.750302555929,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,,,,,,,,,,,,,0,3,3,3,,,,,,,,,1,1.68492102309,3,0.450366547846,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,,,,,,,,,,,,,0,4,4,4,,,,,,,,,1,1.51513672136,2,0.550294344971,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,,,,,,,,,,,,,0,5,5,5,,,,,,,,,1,1.16945809467,3,0.450336203004,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,,,,,,,,,,,,,0,6,6,6,,,,,,,,,1,0.916026449992,2,0.550364852104,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,,,,,,,,,,,,,0,7,7,7,,,,,,,,,1,1.41781813444,2,0.550375562049,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,,,,,,,,,,,,,0,8,8,8,,,,,,,,,1,1.16507772742,3,0.600171002111,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,,,,,,,,,,,,,0,9,9,9,,,,,,,,,1,1.48412339998,3,1.10018438954,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_075.jpg,En75_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En75,75,,,,,,,,,,,,,0,10,10,10,,,,,,,,,1,1.48641220434,2,0.550211342903,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_028.jpg,Al28_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al28,28,,,,,,,,,,,,,0,11,11,11,,,,,,,,,1,1.26743757441,3,0.600348162441,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
