7.1770 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
172.8095 	EXP 	window1: blendMode = 'avg'
172.8262 	EXP 	window1: blendMode = 'avg'
172.8428 	EXP 	window1: blendMode = 'avg'
172.8596 	EXP 	window1: blendMode = 'avg'
172.8759 	EXP 	window1: blendMode = 'avg'
172.8928 	EXP 	window1: blendMode = 'avg'
172.9094 	EXP 	window1: blendMode = 'avg'
172.9261 	EXP 	window1: blendMode = 'avg'
172.9429 	EXP 	window1: blendMode = 'avg'
172.9594 	EXP 	window1: blendMode = 'avg'
172.9762 	EXP 	window1: blendMode = 'avg'
172.9927 	EXP 	window1: blendMode = 'avg'
173.0093 	EXP 	window1: blendMode = 'avg'
173.0261 	EXP 	window1: blendMode = 'avg'
173.0427 	EXP 	window1: blendMode = 'avg'
173.0594 	EXP 	window1: blendMode = 'avg'
173.0760 	EXP 	window1: blendMode = 'avg'
173.0927 	EXP 	window1: blendMode = 'avg'
173.1094 	EXP 	window1: blendMode = 'avg'
173.1260 	EXP 	window1: blendMode = 'avg'
173.1427 	EXP 	window1: blendMode = 'avg'
173.1593 	EXP 	window1: blendMode = 'avg'
173.1761 	EXP 	window1: blendMode = 'avg'
173.1928 	EXP 	window1: blendMode = 'avg'
173.2096 	EXP 	window1: blendMode = 'avg'
173.2260 	EXP 	window1: blendMode = 'avg'
173.2426 	EXP 	window1: blendMode = 'avg'
173.2592 	EXP 	window1: blendMode = 'avg'
173.2759 	EXP 	window1: blendMode = 'avg'
173.2926 	EXP 	window1: blendMode = 'avg'
173.3093 	EXP 	window1: blendMode = 'avg'
173.3259 	EXP 	window1: blendMode = 'avg'
173.3427 	EXP 	window1: blendMode = 'avg'
173.3593 	EXP 	window1: blendMode = 'avg'
173.3759 	EXP 	window1: blendMode = 'avg'
173.3927 	EXP 	window1: blendMode = 'avg'
173.4093 	EXP 	window1: blendMode = 'avg'
173.4259 	EXP 	window1: blendMode = 'avg'
173.4429 	EXP 	window1: blendMode = 'avg'
173.4594 	EXP 	window1: blendMode = 'avg'
173.4759 	EXP 	window1: blendMode = 'avg'
